rho0	phi0	M_tail	R_99	Rstarb	Rstarf	NoPartB	NoPartF	omega	lambda	kapa	gama	emu
0.0056	0.274418418	0.627000006	7.783205	5.875125	1.740645	0.640553371	0.00640610816	0.852622401	0.0	56000.0	2.8	1.0
0.0061	0.271589033	0.625000003	7.820335	5.905555	1.927945	0.635570263	0.00944022383	0.853887993	0.0	56000.0	2.8	1.0
0.0067	0.274784789	0.623000002	7.740885	5.845685	2.093925	0.629945482	0.0131649177	0.852625329	0.0	56000.0	2.8	1.0
0.0115552591	0.3031	0.633000003	6.728885	5.145245	3.558425	0.560913891	0.0986668193	0.828178677	0.0	56000.0	2.8	1.0
0.0143611799	0.3291	0.700000001	5.882785	4.630605	4.466205	0.525753002	0.213233848	0.791661941	0.0	56000.0	2.8	1.0
0.0163439163	0.346	0.800000002	5.510145	4.342905	5.219705	0.503423861	0.352129575	0.754322338	0.0	56000.0	2.8	1.0
0.0176875756	0.356	0.900000002	5.967505	4.182505	5.747505	0.48867285	0.483582169	0.723395308	0.0	56000.0	2.8	1.0
0.0188255784	0.3641	1.00000002	6.374165	4.062245	6.151865	0.476626422	0.613063032	0.694969756	0.0	56000.0	2.8	1.0
0.0198176632	0.37	1.10000004	6.712505	3.967505	6.477505	0.465795151	0.742320295	0.66841628	0.0	56000.0	2.8	1.0
0.0208504505	0.377	1.20000002	6.990345	3.871005	6.742405	0.455495084	0.872197345	0.641785125	0.0	56000.0	2.8	1.0
0.0217599292	0.381	1.30000005	7.221765	3.797505	6.961365	0.445308988	1.0032178	0.616571383	0.0	56000.0	2.8	1.0
0.0227524257	0.386	1.40000003	7.411525	3.718485	7.140165	0.434945191	1.13577238	0.590705509	0.0	56000.0	2.8	1.0
0.0238041473	0.391	1.50000004	7.564965	3.640005	7.286245	0.424130542	1.27020775	0.564360392	0.0	56000.0	2.8	1.0
0.0248391788	0.394	1.60000001	7.690205	3.572105	7.404605	0.41257725	1.40687345	0.538104872	0.0	56000.0	2.8	1.0
0.0260415585	0.398	1.70000003	7.783365	3.494405	7.494245	0.399932924	1.54616033	0.510257859	0.0	56000.0	2.8	1.0
0.0273018658	0.4	1.80000001	7.849245	3.420225	7.556305	0.385705255	1.68855529	0.481629147	0.0	56000.0	2.8	1.0
0.0286856013	0.4	1.9	7.884245	3.350625	7.591225	0.369137359	1.83471765	0.451493286	0.0	56000.0	2.8	1.0
0.0299927783	0.393	2.00000004	7.894305	3.300125	7.600605	0.348950516	1.98562017	0.421109549	0.0	56000.0	2.8	1.0
0.0309943642	0.374	2.10000001	7.884725	3.291885	7.591445	0.322879237	2.14278187	0.391956803	0.0	56000.0	2.8	1.0
0.0306171786	0.33	2.20000005	7.906595	3.407255	7.614545	0.287674682	2.30817198	0.373640965	0.0	56000.0	2.8	1.0
0.0292673833	0.273	2.30000003	7.983205	3.614205	7.692505	0.241430556	2.48289299	0.366105385	0.0	56000.0	2.8	1.0
0.0276761451	0.2141	2.40000005	8.106365	3.861405	7.815685	0.18463478	2.66669941	0.364460695	0.0	56000.0	2.8	1.0
0.0261155834	0.154	2.50000003	8.263955	4.123655	7.971655	0.118275994	2.85906788	0.365907997	0.0	56000.0	2.8	1.0
0.0247100591	0.084	2.60000005	8.438845	4.386665	8.145045	0.0430577231	3.05963237	0.368388248	0.0	56000.0	2.8	1.0
